state,raw_name,norm_name
CA,01Advertising Inc.,01advertising
CA,33 Mile Radius LLC,33 mile radius
CA,"33Across, Inc.",33across
CA,"5x5 US, LLC",5x5 us
CA,"6sense Insights, Inc.",6sense insights
CA,"Accudata Integrated Marketing, LLC",accudata integrated marketing
CA,Accurate Append Inc.,accurate append
CA,"ACH, Address Clearing House",ach address clearing house
CA,Acronymix LLC,acronymix
CA,Acxiom LLC,acxiom
CA,"AdeptID, Inc.",adeptid
CA,adsquare GmbH,adsquare
CA,Adstra LLC,adstra
CA,"AdsWizz, Inc.",adswizz
CA,Affinity Answers Corporation,affinity answers
CA,Affinity Solutions Inc.,affinity solutions
CA,AggKnowledge Inc.,aggknowledge
CA,"Agile Education Marketing, LLC",agile education marketing
CA,AGR Marketing Solutions LLC,agr marketing solutions
CA,"Aidentified, Inc.",aidentified
CA,Airlines Reporting Corporation,airlines reporting
CA,Alliant Cooperative Data Solutions LLC,alliant cooperative data solutions
CA,Alphonso Inc.,alphonso
CA,"Altair Data Resources, Inc",altair data resources
CA,"Altrata, Inc.",altrata
CA,AnalyticsIQ Inc,analyticsiq
CA,Anchor Computer Inc.,anchor computer
CA,"App Science, Inc",app science
CA,"Aristotle International, Inc.",aristotle international
CA,ASL Marketing,asl marketing
CA,"Asset International, Inc.",asset international
CA,"AtData, LLC",atdata
CA,Attribits,attribits
CA,"Austin Consolidated Holdings, Inc.",austin consolidated holdings
CA,"Autodata Solutions, Inc.",autodata solutions
CA,"AutoWeb, Inc.",autoweb
CA,"AWL Holdings, LLC",awl holdings
CA,Azerion US Inc.,azerion us
CA,"Babel Street, Inc.",babel street
CA,"Baron App, Inc.",baron app
CA,"BDEX, LLC",bdex
CA,"BDO GCI, LLC",bdo gci
CA,"BECAUSAL, INC.",becausal
CA,"BeenVerified, LLC and its subsidiaries and affiliates",beenverified and its subsidiaries and affiliates
CA,Beeswax,beeswax
CA,"Belardi Ostroy, ALC, LLC",belardi ostroy alc
CA,"Best Pick Reports, LLC",best pick reports
CA,Biscred,biscred
CA,Black Pearl Group Limited,black pearl group
CA,"Blackbaud, Inc",blackbaud
CA,Blis Global Ltd,blis global
CA,Blue Action Inc.,blue action
CA,Blueprint Audiences,blueprint audiences
CA,"Bombora, Inc.",bombora
CA,"Bridg, a division of Cardlytics, Inc.",bridg a division of cardlytics
CA,"Brooks Integrated Marketing, LLC",brooks integrated marketing
CA,"Buildertrend Solutions, Inc.",buildertrend solutions
CA,Bushwick Growbots LLC,bushwick growbots
CA,"Buxton Company, LLC",buxton company
CA,Buyerlink Inc.,buyerlink
CA,BV Insights LLC,insights
CA,Cadent LLC,cadent
CA,Captify Technologies,captify technologies
CA,Catalist LLC,catalist
CA,"CHECKPEOPLE, LLC",checkpeople
CA,Choreograph LLC,choreograph
CA,"Circana, LLC",circana
CA,"Civis Analytics, Inc.",civis analytics
CA,"Clay Labs, Inc.",clay labs
CA,"Clearview AI, Inc.",clearview ai
CA,"Coast Technology, LLC",coast technology
CA,"Collective Data Solutions, LLC",collective data solutions
CA,"Commerce Signals, Inc.",commerce signals
CA,"Complete Medical Lists, Inc.",complete medical lists
CA,Connatix Native Exchange Inc.,connatix native exchange
CA,"Connected Investors, LLC",connected investors
CA,ContactOut Limited,contactout
CA,Converge Marketing LLC,converge marketing
CA,Convex Labs LLC,convex labs
CA,"CoStar Realty Information, Inc.",costar realty information
CA,Crisil Irvena US LLC,crisil irvena us
CA,Criteo Corp.,criteo
CA,"Cross Pixel Media, Inc.",cross pixel media
CA,CTAM LeadShare Corp.,ctam leadshare
CA,"Cuebiq Group, LLC",cuebiq group
CA,Cybba Inc.,cybba
CA,"DataDelivers, LLC",datadelivers
CA,"Datafy, LLC",datafy
CA,"Dataline, Inc.",dataline
CA,"Datalink Services, Inc",datalink services
CA,Datonics LLC,datonics
CA,"DealerSocket, LLC (US)",dealersocket us
CA,DealerX Partners LLC,dealerx partners
CA,Dealfront Finland Oy,dealfront finland oy
CA,Dealfront Group GmbH,dealfront group
CA,"Deep Root Analytics, LLC",deep root analytics
CA,Deloitte Consulting LLP,deloitte consulting
CA,Deloitte Financial Advisory Services LLP,deloitte financial advisory services
CA,"Demandbase, Inc.",demandbase
CA,"Digital Media Solutions, LLC",digital media solutions
CA,Disco Technology Inc,disco technology
CA,"DR Decision Resources, LLC",dr decision resources
CA,"Draup, Inc.",draup
CA,"Drivers History Information Sales, LLC",drivers history information sales
CA,"DSPolitical, LLC",dspolitical
CA,"Dstillery, Inc.",dstillery
CA,"DTN, LLC",dtn
CA,"e.Republic, LLC",e republic
CA,"EAB Global, Inc.",eab global
CA,"Edvisors Network, Inc.",edvisors network
CA,"El Toro.com, LLC",el toro com
CA,"Electronic Voice Services, Inc.",electronic voice services
CA,"eLocal USA, LLC",elocal usa
CA,"Enigma Technologies, Inc.",enigma technologies
CA,"Epsilon Data Management, LLC",epsilon data management
CA,Equifax Information Services LLC,equifax information services
CA,Equifax Workforce Solutions LLC,equifax workforce solutions
CA,Evorra Ltd,evorra
CA,Exact Match Marketing Inc,exact match marketing
CA,"Experian Information Solutions, Inc",experian information solutions
CA,"Experian Marketing Solutions, LLC",experian marketing solutions
CA,Eyeota Pte Ltd,eyeota pte
CA,"Family Tree Now, LLC",family tree now
CA,Famous Birthdays LLC,famous birthdays
CA,"Faraday, Inc.",faraday
CA,"Fetch Rewards, LLC",fetch rewards
CA,FI Navigator Corporation,fi navigator
CA,"Fideo Intelligence, Inc.",fideo intelligence
CA,"Findem, Inc.",findem
CA,"Forager.ai, LLC",forager ai
CA,Four Corner Media Corp,four corner media
CA,Fourleaf LLC,fourleaf
CA,"Foursquare Labs, Inc.",foursquare labs
CA,Fraiser LLC,fraiser
CA,"FREEPEOPLESEARCH.COM, LLC",freepeoplesearch com
CA,FreeWheel Media Inc,freewheel media
CA,"Fushia Media, LLC",fushia media
CA,General Motors LLC,general motors
CA,"Giant Partners, Inc.",giant partners
CA,Global Source Data Solutions Inc,global source data solutions
CA,Grassroots Analytics,grassroots analytics
CA,GrayHair Software LLC,grayhair software
CA,Graze Social PBC,graze social pbc
CA,"Growing Libraries, LLC",growing libraries
CA,"GrowthCode, LLC",growthcode
CA,"H1 Insights, Inc.",h1 insights
CA,"Health Union, LLC",health union
CA,HealthWise Data,healthwise data
CA,Helix Campaigns LLC,helix campaigns
CA,"HubSpot, Inc.",hubspot
CA,"Hunter Web Services, Inc",hunter web services
CA,"i360, LLC",i360
CA,IDMAP Inc,idmap
CA,"iLeads.com, LLC",ileads com
CA,Index Exchange Inc.,index exchange
CA,Infomatics LLC,infomatics
CA,Informa Group Limited,informa group
CA,"INFORMATION.COM, LLC",information com
CA,"Inmar Brand Solutions, Inc.",inmar brand solutions
CA,"Inmar-OIQ, LLC",inmar oiq
CA,"Innovative Database Solutions, Inc.",innovative database solutions
CA,Insightbridge LLC,insightbridge
CA,Institutional Shareholder Services Inc.,institutional shareholder services
CA,Intent IQ LLC,intent iq
CA,"Intentsify, LLC",intentsify
CA,"Interactive Data, LLC",interactive data
CA,iovation Inc.,iovation
CA,IQVIA Digital Inc.,iqvia digital
CA,"Irys, Inc",irys
CA,"iSpot.tv, Inc.",ispot tv
CA,IXI Corporation,ixi
CA,J.D. Power,j d power
CA,"Juicebox App, Inc.",juicebox app
CA,Kargo Global LLC,kargo global
CA,Keyword Connects LLC,keyword connects
CA,"Kloudend, Inc.",kloudend
CA,"Koddi, Inc",koddi
CA,L.S Mobile Apps Holdings LTD,l s mobile apps holdings
CA,"LeadIQ, Inc",leadiq
CA,LeadPost LLC,leadpost
CA,Leadspace Inc,leadspace
CA,"LearnMore, LLC",learnmore
CA,"Leidos Digital Solutions, Inc.",leidos digital solutions
CA,LexisNexis Risk Solutions FL Inc.,lexisnexis risk solutions fl
CA,ListKit LLC,listkit
CA,"Live Data Technologies, Inc.",live data technologies
CA,LiveIntent,liveintent
CA,"LiveRamp Holdings, Inc.",liveramp holdings
CA,"LizDev,Inc",lizdev
CA,"Lob.com, Inc.",lob com
CA,Lookify.io,lookify io
CA,"M1 Data & Analytics, LLC",m1 data analytics
CA,Magnite Inc,magnite
CA,Malvern Media Inc.,malvern media
CA,"Marketing Architects, Inc.",marketing architects
CA,MarketOps LLC,marketops
CA,"MarketShare Partners, LLC",marketshare partners
