license_no|profession_name|license_type_name|full_name|addr_phone|doing_business_as|addr_line_4|license_status_name|expiration_date|
DATA-00009|DFR-Data Broker|Data Broker|Crunchbase Inc|4158492049|Crunchbase|San Francisco CA  94104|Active|12/31/2026 12:00:00 AM|
DATA-00010|DFR-Data Broker|Data Broker|DEALERDIRECT LLC|844-889-7367|FordDirect|Dearborn MI  48126|Active|12/31/2026 12:00:00 AM|
DATA-00011|DFR-Data Broker|Data Broker|Deloitte Consulting LLP|3033053906||new york NY  10112|Active|12/31/2026 12:00:00 AM|
DATA-00012|DFR-Data Broker|Data Broker|HealthWise Data LLC|9088886061|HealthWise Data|Roswell GA  30076|Active|12/31/2026 12:00:00 AM|
DATA-00013|DFR-Data Broker|Data Broker|LEAD INTELLIGENCE INC|8008884776|Verisk Marketing Solutions|JERSEY CITY NJ  07310|Active|12/31/2026 12:00:00 AM|
DATA-00015|DFR-Data Broker|Data Broker|UPS Capital Corporation|4042192593|UPS Capital|atlanta GA  30328|Active|12/31/2026 12:00:00 AM|
DATA-00016|DFR-Data Broker|Data Broker|EXPERIAN MARKETING SOLUTIONS LLC|714-830-7000||costa mesa CA  92626|Active|12/31/2026 12:00:00 AM|
DATA-00017|DFR-Data Broker|Data Broker|EXPERIAN INFORMATION SOLUTIONS INC|714-830-7000||Costa Mesa CA  92626|Active|12/31/2026 12:00:00 AM|
DATA-00018|DFR-Data Broker|Data Broker|EXPERIAN HEALTH INC|7148307000||Costa Mesa CA  92626|Active|12/31/2026 12:00:00 AM|
DATA-00019|DFR-Data Broker|Data Broker|LEXISNEXIS RISK SOLUTIONS FL INC|8882171591|LexisNexis Risk Solutions|Alpharetta GA  30005|Active|12/31/2026 12:00:00 AM|
DATA-00020|DFR-Data Broker|Data Broker|Foursquare Labs Inc|9143559124||San FRAncisco CA  94111|Active|12/31/2026 12:00:00 AM|
DATA-00021|DFR-Data Broker|Data Broker|Compact Information Systems LLC|8889707248|AccuData Integrated Marketing|KIRKLAND WA  98033|Active|12/31/2026 12:00:00 AM|
DATA-00022|DFR-Data Broker|Data Broker|Compact Information Systems LLC|8889707248|ASL Marketing|kirkland WA  98033|Active|12/31/2026 12:00:00 AM|
DATA-00023|DFR-Data Broker|Data Broker|Compact Information Systems LLC|3092218182|Deep Sync|kirkland WA  98033|Active|12/31/2026 12:00:00 AM|
DATA-00024|DFR-Data Broker|Data Broker|Compact Information Systems LLC|8889707248|HomeData|KIRKLAND WA  98033|Active|12/31/2026 12:00:00 AM|
"DATA-00026|DFR-Data Broker|Data Broker|DEFINITIVE HEALTHCARE LLC|8666976461| Populi, LLC|FRAMINGHAM MA  01701|Active|12/31/2026 12:00:00 AM|"
DATA-00028|DFR-Data Broker|Data Broker|MINERVA BI INC|7202266966|Minerva|brooklyn NY  11249|Active|12/31/2026 12:00:00 AM|
DATA-00029|DFR-Data Broker|Data Broker|ACXIOM LLC|5013420356||CONWAY AR  72032|Active|12/31/2026 12:00:00 AM|
DATA-00030|DFR-Data Broker|Data Broker|TRANS UNION LLC|7089680230||Chicago IL  60661|Active|12/31/2026 12:00:00 AM|
DATA-00031|DFR-Data Broker|Data Broker|NEUSTAR INC|7089680230||CHICAGO IL  60661|Active|12/31/2026 12:00:00 AM|
DATA-00032|DFR-Data Broker|Data Broker|Merkle Inc|5085732311||Columbia MD  21046|Active|12/31/2026 12:00:00 AM|
DATA-00034|DFR-Data Broker|Data Broker|BLACKBAUD INC|8436543256||Charleston SC  29492|Active|12/31/2026 12:00:00 AM|
DATA-00036|DFR-Data Broker|Data Broker|LUSHA SYSTEMS INC.|972549220998||Boston MA  02199|Active|12/31/2026 12:00:00 AM|
DATA-00037|DFR-Data Broker|Data Broker|NUWBER INC|8449121292|NO|PORTLAND OR  97239|Active|12/31/2026 12:00:00 AM|
DATA-00039|DFR-Data Broker|Data Broker|BUILDERTREND SOLUTIONS INC|8884157128|Buildertrend|Omaha NE  68137|Active|12/31/2026 12:00:00 AM|
DATA-00040|DFR-Data Broker|Data Broker|THROTLE INC|7322681729||Red Bank NJ  07701|Active|12/31/2026 12:00:00 AM|
DATA-00041|DFR-Data Broker|Data Broker|CHOREOGRAPH LLC|447770965335||NEW york NY  10007|Active|12/31/2026 12:00:00 AM|
DATA-00042|DFR-Data Broker|Data Broker|DUN & BRADSTREET INC|9046486350||Jacksonville FL  32256|Active|12/31/2026 12:00:00 AM|
DATA-00044|DFR-Data Broker|Data Broker|EDVISORS NETWORK INC|8889721010||Las Vegas NV  89145|Active|12/31/2026 12:00:00 AM|
DATA-00045|DFR-Data Broker|Data Broker|INTERACTIVE DATA LLC|888-376-6659||BOCA RATON FL  33431|Active|12/31/2026 12:00:00 AM|
DATA-00046|DFR-Data Broker|Data Broker|PATH2RESPONSE LLC|3039277733|Path2Response|Broomfield CO  80021|Active|12/31/2026 12:00:00 AM|
DATA-00047|DFR-Data Broker|Data Broker|SNOVIO INC|3477050819||Naples FL  34110|Active|12/31/2026 12:00:00 AM|
DATA-00048|DFR-Data Broker|Data Broker|VALASSIS COMMUNICATIONS INC|6303226000||Chicago IL  60606|Active|12/31/2026 12:00:00 AM|
DATA-00049|DFR-Data Broker|Data Broker|PropertyRadar Inc|5305508801||Truckee CA  96161|Active|12/31/2026 12:00:00 AM|
DATA-00050|DFR-Data Broker|Data Broker|JD POWER A CORPORATION OF DELAWARE|8054188000|J.D. Power|Troy MI  48083|Active|12/31/2026 12:00:00 AM|
"DATA-00053|DFR-Data Broker|Data Broker|Spokeo Inc|6263969499|Freepeopledirectory, Thatsthem, peoplewin.|Pasadena CA  91101|Active|12/31/2026 12:00:00 AM|"
DATA-00054|DFR-Data Broker|Data Broker|Connected Investors LLC|8882047501||Agoura Hills CA  91301|Active|12/31/2026 12:00:00 AM|
DATA-00059|DFR-Data Broker|Data Broker|First Orion Corp|5013589391|FIRST ORION CORP|North Little Rock AR  72114|Active|12/31/2026 12:00:00 AM|
