Record Name:,Data Broker Registrationses,,,,,,,,,,,,,,,,,
Exported On:,"Jun 4, 2026 11:15 AM",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Registration Number,Full Legal Name,Primary Physical Address,Data Broker Email Address,Website,Consumer Rights Link,Telephone Number,Contact Person,Categories of Data Processed and Transferred,Purchaser Credentialing Process,Data of a Known Child,Data of a Known Child - Additional Details,Data of a Known Child - Law Compliance,Number of Security Breaches,Security Breaches - Additional Details,Additional Information or Explanation,Authorized Person,Authorized Person Title,Submitted On
20260107,DisplayLogix LLC,"368 Old Palmetto Bluff Road, 368 Old Palmetto Bluff Road , Bluffton , SC , 29910 , United States",brandon@display-logix.com,www.display-logix.com,https://app.termly.io/policy-viewer/policy.html?policyUUID=e1b589c9-c7f6-47c3-a7b4-e57e3c79f883,8432904821,Brandon McKinley,"DisplayLogix processes and transfers the following specific categories of data:

Geolocation Data
Precise latitude/longitude coordinates derived from mobile device observations, including location timestamps, visit frequency data, and point-of-interest proximity signals.

Device Identifiers
Mobile Advertising IDs (MAIDs), including Apple IDFA and Google Advertising ID (GAID); IP addresses; device type; operating system; and browser type.

Household Demographic Data
Estimated age range; estimated gender; estimated household income range; estimated household size and composition; estimated home ownership status; estimated marital status; estimated presence of children in household; estimated education level; and estimated employment or occupational category.

Behavioral and Interest Data
Inferred consumer interest categories and lifestyle segments derived from observed location visitation patterns and advertising interaction history (e.g., retail category affinity, dining preferences, automotive interest).

Advertising Interaction Data
Ad impression records, ad click events, and conversion signals associated with anonymized device identifiers, used for campaign attribution and performance reporting.

All data is processed and transferred in encrypted or anonymized form for the purposes of digital advertising targeting, audience segmentation, footfall attribution, campaign analytics, and reporting. Consumers maintain the ability to opt out of data collection and use at any time via device-level settings or direct opt-out request.",Yes,No,,,0,,"Our identifiers are advertising-specific and user-resettable. They are not tied to a person's
name, phone number, email address, or other directly identifying personal information. They
exist to enable interest-based advertising while providing users a mechanism to opt out or reset
their advertising identity at any time. For all user-facing exports, device identifiers are stored and
processed in hashed form.",Brandon McKinley,Founder & President,6/2/2026
20260106,Beacon Territory Group LLC,"1224 GRAYLYNN DR , VESTAVIA HILLS , AL , 35216-2636 , United States",david@beaconterritory.com,https://www.beaconterritory.com/,https://www.beaconterritory.com/texas-privacy-rights/,2058090527,David McBrayer,"Beacon Territory Group, LLC processes and transfers consumer personal data consisting of residential property and homeowner records for owner-occupied single-family homes. The categories of personal data, by individual, are:

Identifiers — homeowner name.
Contact data — residential/property street address; telephone number, appended where available.
Real-property and household attributes — owner-occupancy status; single-family-residence designation; estimated or assessed home value (within a $200,000–$2,500,000 value band); year built / new-construction status; and recent-mover status.

Beacon does not process or transfer sensitive data: it handles no Social Security or government-identification numbers, no financial account or payment data, no precise geolocation data, no biometric or genetic data, no health data, and no data revealing racial or ethnic origin, religious beliefs, citizenship or immigration status, or sexual orientation.",Yes,No,,,0,,,David McBrayer,"Owner, Beacon Territory Group LLC",6/2/2026
20260105,"Urban Science Applications, Inc. ","400 RENAISSANCE CTR, SUITE 2900 , DETROIT , MI , 48243-1602 , United States",pachandra@URBANSCIENCE.com,www.urbanscience.com,https://www.urbanscience.com/privacy/,8003216900,Pavan Chandra,"General Personal Information: 
Identifiers - such as name, postal address, email address, and telephone numbers;  and 
Commercial information - such as records of products or services purchased, obtained, or considered, vehicle and product preferences, and other purchasing or consuming histories or tendencies.
",Yes,No,,,0,,,Pavan Chandra,Senior Manager,6/1/2026
20260104,Nyne.ai Corp,"1317 N San Fernando #334 , Burbank , TX , 91504 , United States",michael@nyne.ai,nyne.ai,https://nyne.ai/privacy-choices/,8186414575,Michael Fanous,"Nyne.ai Corp. processes and transfers the following categories of personal data that it did not collect directly from the individual to whom the data pertains:

Identifiers: name, business email address, business phone number, business mailing address, online identifiers, profile URLs, and account identifiers.
Professional and employment information: employer, job title, role, work history, professional profile information, and business affiliations.
Commercial information: business relationship, firmographic, and transaction-related data.
Internet and network activity information: limited device, log, and usage data associated with online sources.
Approximate geolocation: general location inferred from IP address or contained in source data (not precise geolocation).
Education information: where available from public, customer-provided, or other lawful sources.
Inferences and derived data: data-quality, confidence, and verification scores; classifications; matching and affiliation indicators; and other derived business or professional insights.

Data is sourced from public records and government databases, publicly available online and professional sources, commercial data providers, and business partners.",Yes,No,,,0,,,Michael Fanous,Co-Founder,5/31/2026
20260103,"Vendelux, Inc.","115 W 30TH ST , NEW YORK , NY , 10001-4010 , United States",ben@vendelux.com,vendelux.com,https://vendelux.com/privacy,3477034231,Ben Pfeifer,"Business contact information only including name, title, company and work email address.",Yes,No,,,0,,Vendelux aggregates business contact information that is generally publicly available for use in business-to-business sales and marketing activities.,Ben Pfeifer,Treasurer,5/30/2026
20260102,Teads Holding Co.,"111 W 19th St, Third Floor , New York  , NY , 10011 , United States",ob-privacy@teads.com,https://www.outbrain.com/privacy/,https://dsr.outbrain.com/recommendations-settings/home/en,447823771890,Alexia  Rosenberg,"Teads Holding Co. processes and transfers the following categories of personal data: 
1. User Data: Unique persistent identifiers including Cookie IDs, Mobile Advertising IDs and IP addresses. This data also includes associated technical metadata such as browser type, operating system, and engagement metrics used for personalised ad profiling, cross-device linking and campaign performance measurement. 
2. Business Partner Data: Identity and professional information collected during the registration and communication process for Teads' products. This includes names, company names and information necessary for contract management and service delivery. 
3. Marketing Data: Contact information including names and professional email addresses used for distributing newsletters, event management, and B2B marketing communications.
4. Employee Data: We process data for workforce management, including legal names, government identifiers (SSN/National Insurance numbers), demographic information, payroll and bank account details, performance evaluations, and health insurance/benefits records.",Yes,No,,,0,,,Katja Da Luz,Trainee Solicitor ,5/27/2026
20260101,Teads Inc.,"111 W 19th St, 3rd Floor , New York  , NY , 10011 , United States",dpo@teads.com,https://privacy-policy.teads.com/,https://privacy-policy.teads.com/,447823771890,Alexia Rosenberg,"Teads Inc. processes and transfers the following categories of personal data: 
1. User Data: Unique persistent identifiers including Cookie IDs, Mobile Advertising IDs, CTV IDs, and IP addresses. This data also includes associated technical metadata such as browser type, operating system, and engagement metrics used for personalised ad profiling, cross-device linking and campaign performance measurement. 
2. Business Partner Data: Identity and professional information collected during the registration and communication process for Teads' products. This includes names, company names and information necessary for contract management and service delivery. 
3. Marketing Data: Contact information including names and professional email addresses used for distributing newsletters, event management, and B2B marketing communications.
4. Employee Data: We process data for workforce management, including legal names, government identifiers (SSN/National Insurance numbers), demographic information, payroll and bank account details, performance evaluations, and health insurance/benefits records.",Yes,No,,,0,,,Katja Da Luz,Trainee Solicitor ,5/27/2026
20260100,Veraset LLC ,"127 S PEYTON ST , ALEXANDRIA , VA , 22314-2803 , United States",tax@veraset.com,https://www.veraset.com/,https://www.veraset.com/legal/do-not-sell-request,8185153432,Geoffrey  Prince,"The categories of data we process and transfer include:
Location information: Signals that indicate where a device has been over time, such as latitude and longitude coordinates and timestamps. This allows for analysis of movement patterns, visits to places, and general travel behavior.
Device identifiers: Randomized, pseudonymous identifiers assigned to a device (such as a mobile phone) that help us understand patterns over time without directly identifying an individual person.
Visit and place data: Information that infers when a device has visited a specific type of location (for example, a retail store, park, or airport), based on repeated location signals.
Home and work area estimates: Broad geographic areas where a device is most commonly located during nighttime or daytime hours, used to estimate general home and work regions. These are not precise addresses, but rather approximate areas.
Movement and travel patterns: Aggregated insights about how devices move between places, including common routes, frequency of visits, and travel distances.
Technical metadata: Supporting information such as timestamps, general device characteristics, and data quality indicators that help ensure the data can be accurately processed and analyzed.
We do not process direct identifiers such as names, email addresses, or phone numbers. We also do not attempt to identify specific individuals. All data is subject to review at onboarding and on an ongoing basis to ensure it meets our standards for transparency, consent, and responsible use.",Yes,No,,,0,,"Veraset, LLC vets all customers and their use cases before engagements. The use cases is additionally stipulated in contracts. This is
purposeful so that we only engage with companies that preserve privacy and act on the information correctly. Please also see our website and
very detailed policies.",Geoffrey Prince,CEO,5/18/2026
20260099,"Netunim, LLC dba DataShark","11303 E. Rocky Creek Rd , Crowley , TX , 76036 , United States",monica@datashark.net,www.countshark.net,http://www.countshark.net/grid_privacy/,8179197569,Monica O'Desky,"automotive modeling including name, address information, make, model, year of vehicle.",No,No,,,0,,,Monica O'Desky,Partner,4/27/2026
20260098,"AlikeAudience, INC.","440 N WOLFE ROAD  , SUNNYVALE , CA , 94085 , United States",privacy@alikeaudience.com,https://www.alikeaudience.com/,https://www.alikeaudience.com/privacy-policy/,14083208866,Bosco Ka Kin Lam,"Personal data (except Genetic data and Biometric data), Precise geolocation data, Deidentified data",Yes,No,,,0,,N/A,Howard Hsu,Legal consultant,5/8/2026
20260097,Scout Data Inc.,"30 N Gould St Ste N , Sheridan , WY , 82801-6317 , United States",compliance@scoutdata.com,scoutdata.com,https://store.scoutdata.com/privacy-rights,4696896476,Shadi Barhoumi,"Scout Data Inc. processes and transfers the following categories of personal and property data relating to residential property owners:                    
                  
Contact Information: Full names, residential mailing addresses, phone numbers, and email addresses.

Property and Real Estate Data: Parcel records including property type, square footage, year built, assessed value, and owner-occupancy status.
                                                                                
Permit and Construction Records: Building permit history including permit type (solar, roofing, HVAC, electrical, windows, remodeling), permit date, contractor name, and permit status.

Demographic and Household Data: Household income estimates, household size, age ranges, primary language spoken, heating fuel type, and home value estimates derived from census and public records.                             
                  
Energy and Utility Data: Electricity usage estimates, solar potential estimates, deregulated utility market eligibility (Texas), and historical power outage records tied to residential addresses.                           
                  
Environmental and Weather Event Data: Historical hail strike, wind damage, and storm event data associated with residential property locations.
                                                                                
Commercial Intent Signals: New mover records and advertising response history associated with residential property owners.

Data is compiled from public records and licensed third-party providers and is transferred to home services businesses for field sales prospecting and direct marketing purposes.",No,No,,,0,,,Shadi Barhoumi,CEO,5/5/2026
20260096,Zeta Global Corp.,"3 PARK AVE , NEW YORK , NY , 10016-5902 , United States",bhayes@zetaglobal.com,www.zetaglobal.com,www.zetaglobal.com/privacy-choices/,2023687202,Benjamin Hayes,"Zeta obtains consent from consumers to use data for marketing purposes and obtains email addresses directly from consumers or from companies who have obtained direct from the consumer.  It then appends data obtained from other data brokers to such email addresses, as well as inferences derived from page views obtained via Zeta cookies.  This data is used for personalized advertising on behalf of advertiser clients.  Zeta does not outright sell data to third parties apart from a handful of one-off transactions, rather, Zeta utilizes the data it has collected to power marketing decisioning and insights for advertisers.  This involves matching data between Zeta and advertiser within Zeta's secure environment.  Zeta clients can utilize Zeta's data while using Zeta's platform, but cannot extract any Zeta data for their own longer-term use.",Yes,No,,,0,,"Zeta maintains a legal compliance program to comply with privacy laws.  This program is led by an experienced Chief Privacy Officer, and adheres to the standards for effective compliance programs set forth in the U.S. Sentencing Guidelines, including: written policies and procedures, staff training and awareness, privacy by design, ongoing monitoring and remediation, and a cycle of continuous improvement.  Zeta does not differentiate between different jurisdictions in regards to privacy rights but extends rights of access, deletion, and opt-out from data sharing and marketing to all people worldwide.",Benjamin Hayes,Chief Privacy Officer,5/1/2026
20260095,Dealfront Finland Oy,"Kalevankatu 6
Helsinki, Helsinki, 00100
FINLAND",privacy-team@leadfeeder.com,https://www.leadfeeder.com/,https://www.leadfeeder.com/privacy/us-privacy-disclosure/,35810279294,Hannah Lee-Wunderlich,"Dealfront Finland Oy collects, processes, and transfers personal data relating to individuals acting in a professional or business capacity. The majority of data is sourced from publicly available information, including company websites, professional directories, commercial and trade registers, job boards, and open academic and research databases. The following categories of personal data are processed:

Identifiers: name, business email address, business telephone number, IP address
Professional and employment information: job title, department, employer name
Internet or network activity: company-level website visit data identified through the registrant's visitor-identification technology
Geolocation data: country and region derived from IP address (not precise geolocation).
Inferences: professional attributes derived from the above categories and from publicly available sources

Dealfront Finland Oy does NOT collect, process, or transfer sensitive personal information such as racial or ethnic origin, religious beliefs, mental or physical health data, sexual orientation, immigration status, genetic or biometric data, precise geolocation, or personal data of known minors.",Yes,No,,,0,,"Data processed is limited to professional context: name, job title, department, employer, business email address, business phone number, and country-level location. ",Hannah Lee-Wunderlich,General Counsel,3/31/2026
20260094,Dealfront Group GmbH,"Durlacher Allee 73
76131 Karlsruhe, Germany ",privacy-team@leadfeeder.com,https://www.leadfeeder.com/,https://www.leadfeeder.com/privacy/us-privacy-disclosure/,4972198191256,Hannah Lee-Wunderlich,"Dealfront (dba Leadfeeder) collects, processes, and transfers personal data relating to individuals acting in a professional or business capacity. The majority of data is sourced from publicly available information, including company websites, professional directories, commercial and trade registers, job boards, and open academic and research databases. The following categories of personal data are processed:

Identifiers: name, business email address, business telephone number, IP address
Professional and employment information: job title, department, employer name
Internet or network activity: company-level website visit data identified through the registrant's visitor-identification technology
Geolocation data: country and region derived from IP address (not precise geolocation).
Inferences: professional attributes derived from the above categories and from publicly available sources

Leadfeeder does NOT collect, process, or transfer sensitive personal information such as racial or ethnic origin, religious beliefs, mental or physical health data, sexual orientation, immigration status, genetic or biometric data, precise geolocation, or personal data of known minors.",Yes,No,,,0,,"Data processed is limited to professional context: name, job title, department, employer, business email address, business phone number, and country-level location. ",Hannah Lee-Wunderlich,General Counsel,3/31/2026
20260093,"HGOnline, LLC","14716 LITTLE ANNE DR , LITTLE ELM , TX , 75068-2770 , United States",Shane@tripwiredata.com,tripwiredata.com,https://www.tripwiredata.com/texas-data-broker-notice,9728325836,Shane Hendel,"Tripwire Data processes and transfers data derived exclusively from government public records, business-registration filings, and regulatory disclosures relating to newly forming, newly registered, and newly licensed Texas businesses. Categories:
Business identifiers: legal name; DBA/assumed names; entity type (LLC, corporation, partnership, sole proprietorship, etc.); taxpayer and entity-charter numbers; permit, license, and registration numbers; formation, registration, and issuance dates.
Contact information: mailing addresses; physical business and premises addresses; business phone numbers; business email addresses where publicly disclosed.
Industry classification: NAICS codes; business activity descriptions; license and permit categories.
Business principals: names of officers, directors, managers, and members of registered entities; names and addresses of registered agents; for sole proprietorships, the owner's name and contact information as disclosed in the underlying public registration.
Operational and regulatory status: license, permit, and registration type; effective, issue, and expiration dates; status indicators (active, inactive, cancelled, surrendered); use classifications on certificates of occupancy.
Construction activity: building-permit records including project addresses, scope descriptions, issue dates, and permit valuations, where publicly disclosed by municipal or county authorities; contractor names and license numbers on those records.
Tripwire Data does not process or transfer Social Security numbers, driver's license numbers, financial-account or payment-card information, consumer credit information, health or medical information, biometric identifiers, precise geolocation data, or data concerning minors.
All categories are derived solely from information lawfully disclosed to the public by Texas state, county, and municipal authorities.",No,No,,,0,,"Tripwire Data operates as a Texas-based B2B intelligence platform. Our sole purpose is to identify newly forming, newly registered, and newly licensed businesses in Texas and deliver that information to paying business subscribers (insurance agents, accountants, contractors, and commercial suppliers) who sell products and services to those businesses.
Collection practices: All data is collected directly from government sources that affirmatively publish the underlying records, including bulk file downloads, open-data APIs, and regulatory agency portals. Tripwire Data does not scrape protected or paywalled sources, does not bypass access controls, does not purchase data from third-party resellers, and does not collect data from social media, web tracking, cookies, mobile devices, or consumer surveillance tools.
Subject-matter scope: The data relates to businesses and the individuals acting on behalf of those businesses in a commercial capacity (as owners, officers, registered agents, licensees, or contractors). Tripwire Data does not knowingly collect, process, or transfer personal data about Texas residents acting in an individual or household context, and does not build consumer profiles.
Recipients: Recipients are paying business subscribers bound by written terms that restrict use to lawful B2B outreach, prohibit redistribution or resale, and prohibit use for consumer-credit, housing, insurance-underwriting, employment, or other FCRA-regulated decisions.
Safeguards: Tripwire Data honors consumer rights requests under the TDPSA — including access, correction, deletion, portability, and opt-out — and responds within statutory timelines. A public-facing Texas Data Broker Notice is maintained at tripwiredata.com/texas-data-broker-notice explaining how residents can exercise these rights.
Retention: Records are refreshed from their sources on a recurring schedule. Outdated or withdrawn records are updated or suppressed as source data changes.",Shane Hendel,Managing Member,4/20/2026
20260092,"Marriott International, Inc.","7750 WISCONSIN AVE , BETHESDA , MD , 20814-3522 , United States",privacy@marriott.com,https://www.marriott.com/default.mi,https://www.marriott.com/about/privacy.mi ,18002189316,Chris Norton,"General Identifying Information: such as full name, postal address, e-mail address, telephone number, social media account ID, profile photos and other data made publicly available.

Demographic Information and Important Dates: such as gender, language preferences, nationality, birthdays, anniversaries, or special occasions.

Government-Issued Identification: such as passport, visa, or other government-issued identification, where required for travel or legal compliance.

Financial Information: such as credit, debit, or other payment data.

Loyalty Program Information: such as membership details, co-branded payment cards information, and travel partner program affiliations.

Travel and Reservation Information: such as prior stays or interactions, goods and services purchased, special service and amenity requests, travel itinerary, tour group information, activity data, or employer details for business-related bookings.

Health-Related Information: limited information collected in connection with providing spa, wellness, or beauty services.

Claims and Incident Information: such as insurance information, emergency contacts, complaints, or employment details.

In more limited circumstances, Marriott may also collect: 
1. Data about family members and companions (including names, and ages of children); 
2. Biometric data; 
3. Images, videos, and audio data;
4. Customer preference information (e.g., interests, food and beverage preferences, room and stay preferences); and
5. Other non-directly identifying data, such as system data, IP address, precise location-based services, cookies and similar technologies, and app activity and usage data.",Yes,Yes,"Marriott collects the personal data of known children for limited, specific purposes, most notably for participation 
in our Kids Clubs at a small subset of properties. ","Collection occurs with informed parental consent and is limited to personal data reasonably necessary for the child’s 
participation in the program. Marriott does not sell the personal data of known children or use such data to serve targeted advertising. Any disclosures of children’s personal data, if applicable, are limited to service providers acting on Marriott’s behalf and solely to support the relevant program, subject to contractual restrictions. Marriott maintains administrative, technical, and physical safeguards designed to protect children’s personal data and retains such data only for as long as necessary to fulfill the purposes identified when parental consent was obtained.",0,,"For additional information regarding how Marriott International, Inc. processes and transfers personal data, see Marriott's Global Privacy Statement, available at:
https://www.marriott.com/about/privacy.mi#data-we-collect",Courtney Barton,Managing Vice President & Assistant General Counsel,4/18/2026
20260091,"Gather Analytics, LLC","200 BROADWAY , NEW YORK , NY , 10038-2595 , United States",privacy@gatheranalytics.co,https://www.gatheranalytics.co/,https://www.gatheranalytics.co/privacy,18002906826,Meital Waibsnaider,"Online Internet Activity, Name, Contact Information",No,No,,,0,,,Zane Witherspoon,Authorized Registrant,4/21/2026
20260090,"Warmly, Inc.","1321 UPLAND DR , HOUSTON , TX , 77043-4718 , United States",privacy@warmly.ai,warmly.ai,https://www.warmly.ai/p/privacy-policy,4042931239,Samantha Perkins,"Name, Email, Phone number, Internet activity",No,No,,,0,,,Zane Witherspoon,Authorized Registrant,4/21/2026
20260089,MobileFuse LLC,"10 JOSS WAY , MILLINGTON , NJ , 07946-1213 , United States",danb@mobilefuse.com,https://mobilefuse.com,https://mobilefuse.com/privacy-policy,5164699430,Dan Barnett,"Digital advertising identifiers, hashed emails, location, year of birth, gender",Yes,No,,,0,,,Dan Barnett,"EVP, Engineering",4/20/2026
